ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:40:25.267Z hisSize:49272 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b8c-aab4b9e7 "Site B Room 2nca" lorawanPoint maxVal:100 his minVal:0 humidity id:@p:linkEdge:r:2d9aaf5a-0aed8a0b "Site B Room 2 AQ Humidity" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"%RH" sensor cur amSensorRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:humidity" point curVal:44.5%RH disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9aaf5a-8fb5e82f "2 AQ" navName:"Humidity" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"humidity" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba"
2025-01-01T00:00:00+02:00 Bucharest,45.5%RH
2025-01-01T00:15:00+02:00 Bucharest,45.5%RH
2025-01-01T00:30:00+02:00 Bucharest,45.5%RH
2025-01-01T00:45:00+02:00 Bucharest,45.5%RH
2025-01-01T01:00:00+02:00 Bucharest,45.5%RH
2025-01-01T01:15:00+02:00 Bucharest,45.5%RH
2025-01-01T01:30:00+02:00 Bucharest,45.5%RH
2025-01-01T01:45:00+02:00 Bucharest,45.5%RH
2025-01-01T02:00:00+02:00 Bucharest,45.5%RH
2025-01-01T02:15:00+02:00 Bucharest,45.5%RH
2025-01-01T02:30:00+02:00 Bucharest,45.5%RH
2025-01-01T02:45:00+02:00 Bucharest,45.5%RH
2025-01-01T03:00:00+02:00 Bucharest,45.5%RH
2025-01-01T03:01:18+02:00 Bucharest,45%RH
2025-01-01T03:15:00+02:00 Bucharest,45%RH
2025-01-01T03:30:00+02:00 Bucharest,45%RH
2025-01-01T03:45:00+02:00 Bucharest,45%RH
2025-01-01T04:00:00+02:00 Bucharest,45%RH
2025-01-01T04:15:00+02:00 Bucharest,45%RH
2025-01-01T04:30:00+02:00 Bucharest,45%RH
2025-01-01T04:45:00+02:00 Bucharest,45%RH
2025-01-01T05:00:00+02:00 Bucharest,45%RH
2025-01-01T05:15:00+02:00 Bucharest,45%RH
2025-01-01T05:30:00+02:00 Bucharest,45%RH
2025-01-01T05:31:18+02:00 Bucharest,45.5%RH
2025-01-01T05:45:00+02:00 Bucharest,45.5%RH
2025-01-01T06:00:00+02:00 Bucharest,45.5%RH
2025-01-01T06:15:00+02:00 Bucharest,45.5%RH
2025-01-01T06:30:00+02:00 Bucharest,45.5%RH
2025-01-01T06:45:00+02:00 Bucharest,45.5%RH
2025-01-01T07:00:00+02:00 Bucharest,45.5%RH
2025-01-01T07:15:00+02:00 Bucharest,45.5%RH
2025-01-01T07:30:00+02:00 Bucharest,45.5%RH
2025-01-01T07:45:00+02:00 Bucharest,45.5%RH
2025-01-01T08:00:00+02:00 Bucharest,45.5%RH
2025-01-01T08:15:00+02:00 Bucharest,45.5%RH
2025-01-01T08:30:00+02:00 Bucharest,45.5%RH
2025-01-01T08:45:00+02:00 Bucharest,45.5%RH
2025-01-01T09:00:00+02:00 Bucharest,45.5%RH
2025-01-01T09:15:00+02:00 Bucharest,45.5%RH
2025-01-01T09:30:00+02:00 Bucharest,45.5%RH
2025-01-01T09:41:17+02:00 Bucharest,46%RH
2025-01-01T09:45:00+02:00 Bucharest,46%RH
2025-01-01T10:00:00+02:00 Bucharest,46%RH
2025-01-01T10:15:00+02:00 Bucharest,46%RH
2025-01-01T10:30:00+02:00 Bucharest,46%RH
2025-01-01T10:45:00+02:00 Bucharest,46%RH
2025-01-01T11:00:00+02:00 Bucharest,46%RH
2025-01-01T11:15:00+02:00 Bucharest,46%RH
2025-01-01T11:30:00+02:00 Bucharest,46%RH
2025-01-01T11:45:00+02:00 Bucharest,46%RH
2025-01-01T11:51:17+02:00 Bucharest,46.5%RH
2025-01-01T12:00:00+02:00 Bucharest,46.5%RH
2025-01-01T12:01:18+02:00 Bucharest,47%RH
2025-01-01T12:15:00+02:00 Bucharest,47%RH
2025-01-01T12:30:00+02:00 Bucharest,47%RH
2025-01-01T12:41:18+02:00 Bucharest,47.5%RH
2025-01-01T12:45:00+02:00 Bucharest,47.5%RH
2025-01-01T13:00:00+02:00 Bucharest,47.5%RH
2025-01-01T13:15:00+02:00 Bucharest,47.5%RH
