ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" mod:2024-04-12T14:42:32.278Z hisSize:81045 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b95-ed5a18fd "Site B Room 3" lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:tvoc" point his curVal:107ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab1c2-71da2caa "3 AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" id:@p:linkEdge:r:2d9ab1c2-48217394 "Site B Room 3 AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest airQuality hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" unit:"ppb" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T00:00:00+02:00 Bucharest,244ppb
2025-01-01T00:15:00+02:00 Bucharest,244ppb
2025-01-01T00:29:48+02:00 Bucharest,253ppb
2025-01-01T00:30:00+02:00 Bucharest,253ppb
2025-01-01T00:45:00+02:00 Bucharest,253ppb
2025-01-01T00:59:48+02:00 Bucharest,249ppb
2025-01-01T01:00:00+02:00 Bucharest,249ppb
2025-01-01T01:15:00+02:00 Bucharest,249ppb
2025-01-01T01:29:48+02:00 Bucharest,244ppb
2025-01-01T01:30:00+02:00 Bucharest,244ppb
2025-01-01T01:45:00+02:00 Bucharest,244ppb
2025-01-01T01:50:00+02:00 Bucharest,250ppb
2025-01-01T02:00:00+02:00 Bucharest,250ppb
2025-01-01T02:09:48+02:00 Bucharest,256ppb
2025-01-01T02:15:00+02:00 Bucharest,256ppb
2025-01-01T02:29:49+02:00 Bucharest,262ppb
2025-01-01T02:30:00+02:00 Bucharest,262ppb
2025-01-01T02:39:48+02:00 Bucharest,264ppb
2025-01-01T02:45:00+02:00 Bucharest,264ppb
2025-01-01T03:00:00+02:00 Bucharest,264ppb
2025-01-01T03:15:00+02:00 Bucharest,264ppb
2025-01-01T03:30:00+02:00 Bucharest,264ppb
2025-01-01T03:45:00+02:00 Bucharest,264ppb
2025-01-01T03:49:48+02:00 Bucharest,271ppb
2025-01-01T03:59:48+02:00 Bucharest,270ppb
