ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:44:15.252Z hisSize:81212 tz:"Bucharest" precision:0 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint maxVal:5000 his minVal:400 id:@p:linkEdge:r:2d997a3d-ff70ea0a "Site B Room 4 Living AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:51:35+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppm" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" co2 curStatus:"ok" point curVal:751ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:co2"
2025-01-01T00:00:00+02:00 Bucharest,1273ppm
2025-01-01T00:15:00+02:00 Bucharest,1273ppm
2025-01-01T00:28:41+02:00 Bucharest,1153ppm
2025-01-01T00:30:00+02:00 Bucharest,1153ppm
2025-01-01T00:45:00+02:00 Bucharest,1153ppm
2025-01-01T00:58:41+02:00 Bucharest,1322ppm
2025-01-01T01:00:00+02:00 Bucharest,1322ppm
2025-01-01T01:08:41+02:00 Bucharest,1428ppm
2025-01-01T01:14:39+02:00 Bucharest,1521ppm
2025-01-01T01:15:00+02:00 Bucharest,1521ppm
2025-01-01T01:28:40+02:00 Bucharest,1700ppm
2025-01-01T01:30:00+02:00 Bucharest,1700ppm
2025-01-01T01:45:00+02:00 Bucharest,1700ppm
2025-01-01T02:00:00+02:00 Bucharest,1700ppm
2025-01-01T02:08:39+02:00 Bucharest,1659ppm
2025-01-01T02:15:00+02:00 Bucharest,1659ppm
2025-01-01T02:28:39+02:00 Bucharest,1600ppm
2025-01-01T02:30:00+02:00 Bucharest,1600ppm
2025-01-01T02:38:39+02:00 Bucharest,1637ppm
2025-01-01T02:45:00+02:00 Bucharest,1637ppm
2025-01-01T02:48:39+02:00 Bucharest,1754ppm
2025-01-01T03:00:00+02:00 Bucharest,1754ppm
2025-01-01T03:15:00+02:00 Bucharest,1754ppm
2025-01-01T03:18:38+02:00 Bucharest,1860ppm
2025-01-01T03:28:38+02:00 Bucharest,1859ppm
2025-01-01T03:30:00+02:00 Bucharest,1859ppm
2025-01-01T03:38:38+02:00 Bucharest,1862ppm
2025-01-01T03:45:00+02:00 Bucharest,1862ppm
2025-01-01T03:48:38+02:00 Bucharest,1886ppm
2025-01-01T03:58:37+02:00 Bucharest,1910ppm
2025-01-01T04:00:00+02:00 Bucharest,1910ppm
2025-01-01T04:15:00+02:00 Bucharest,1910ppm
2025-01-01T04:28:37+02:00 Bucharest,1859ppm
2025-01-01T04:30:00+02:00 Bucharest,1859ppm
2025-01-01T04:38:37+02:00 Bucharest,1818ppm
2025-01-01T04:45:00+02:00 Bucharest,1818ppm
2025-01-01T04:48:37+02:00 Bucharest,1754ppm
2025-01-01T05:00:00+02:00 Bucharest,1754ppm
2025-01-01T05:08:36+02:00 Bucharest,1709ppm
2025-01-01T05:15:00+02:00 Bucharest,1709ppm
2025-01-01T05:28:36+02:00 Bucharest,1697ppm
2025-01-01T05:30:00+02:00 Bucharest,1697ppm
2025-01-01T05:45:00+02:00 Bucharest,1697ppm
2025-01-01T05:58:35+02:00 Bucharest,1772ppm
2025-01-01T06:00:00+02:00 Bucharest,1772ppm
2025-01-01T06:08:35+02:00 Bucharest,1794ppm
2025-01-01T06:15:00+02:00 Bucharest,1794ppm
2025-01-01T06:30:00+02:00 Bucharest,1794ppm
2025-01-01T06:38:35+02:00 Bucharest,1804ppm
2025-01-01T06:45:00+02:00 Bucharest,1804ppm
2025-01-01T06:48:34+02:00 Bucharest,1776ppm
2025-01-01T06:58:34+02:00 Bucharest,1726ppm
2025-01-01T07:00:00+02:00 Bucharest,1726ppm
2025-01-01T07:08:34+02:00 Bucharest,1677ppm
2025-01-01T07:15:00+02:00 Bucharest,1677ppm
2025-01-01T07:18:34+02:00 Bucharest,1627ppm
2025-01-01T07:30:00+02:00 Bucharest,1627ppm
2025-01-01T07:45:00+02:00 Bucharest,1627ppm
2025-01-01T07:48:34+02:00 Bucharest,1447ppm
2025-01-01T07:58:33+02:00 Bucharest,1383ppm
2025-01-01T08:00:00+02:00 Bucharest,1383ppm
2025-01-01T08:08:33+02:00 Bucharest,1341ppm
2025-01-01T08:15:00+02:00 Bucharest,1341ppm
2025-01-01T08:18:33+02:00 Bucharest,1294ppm
2025-01-01T08:28:33+02:00 Bucharest,1248ppm
2025-01-01T08:30:00+02:00 Bucharest,1248ppm
2025-01-01T08:38:32+02:00 Bucharest,1208ppm
2025-01-01T08:45:00+02:00 Bucharest,1208ppm
2025-01-01T08:48:32+02:00 Bucharest,1148ppm
2025-01-01T09:00:00+02:00 Bucharest,1148ppm
2025-01-01T09:15:00+02:00 Bucharest,1148ppm
2025-01-01T09:28:32+02:00 Bucharest,948ppm
2025-01-01T09:30:00+02:00 Bucharest,948ppm
2025-01-01T09:38:32+02:00 Bucharest,907ppm
2025-01-01T09:45:00+02:00 Bucharest,907ppm
2025-01-01T10:00:00+02:00 Bucharest,907ppm
2025-01-01T10:08:31+02:00 Bucharest,820ppm
2025-01-01T10:15:00+02:00 Bucharest,820ppm
2025-01-01T10:18:31+02:00 Bucharest,796ppm
2025-01-01T10:30:00+02:00 Bucharest,796ppm
2025-01-01T10:38:30+02:00 Bucharest,764ppm
2025-01-01T10:45:00+02:00 Bucharest,764ppm
2025-01-01T10:58:30+02:00 Bucharest,746ppm
2025-01-01T11:00:00+02:00 Bucharest,746ppm
2025-01-01T11:15:00+02:00 Bucharest,746ppm
2025-01-01T11:18:30+02:00 Bucharest,719ppm
2025-01-01T11:28:30+02:00 Bucharest,692ppm
2025-01-01T11:30:00+02:00 Bucharest,692ppm
2025-01-01T11:45:00+02:00 Bucharest,692ppm
2025-01-01T11:58:29+02:00 Bucharest,552ppm
2025-01-01T12:00:00+02:00 Bucharest,552ppm
