ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-15T07:42:15.77Z hisSize:132208 tz:"Bucharest" precision:0 roomRef:@p:linkEdge:r:2d996b84-7f20b3bf "Site B Room 1 Office" lorawanPoint his id:@p:linkEdge:r:2d9972a1-7d7132f0 "Site B Room 1 Office AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:53:15+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppm" amSensorAM319ModelId:"_amSensorAM319_point:co2" sensor cur amSensorRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" co2 curStatus:"ok" point curVal:1339ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9972a1-53363459 "1 Office AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983"
2025-01-01T00:00:00+02:00 Bucharest,1364ppm
2025-01-01T00:01:44+02:00 Bucharest,1361ppm
2025-01-01T00:06:44+02:00 Bucharest,1348ppm
2025-01-01T00:15:00+02:00 Bucharest,1348ppm
2025-01-01T00:16:44+02:00 Bucharest,1354ppm
2025-01-01T00:30:00+02:00 Bucharest,1354ppm
2025-01-01T00:31:44+02:00 Bucharest,1314ppm
2025-01-01T00:45:00+02:00 Bucharest,1314ppm
2025-01-01T00:51:44+02:00 Bucharest,1389ppm
2025-01-01T01:00:00+02:00 Bucharest,1389ppm
2025-01-01T01:06:44+02:00 Bucharest,1467ppm
2025-01-01T01:15:00+02:00 Bucharest,1467ppm
2025-01-01T01:21:44+02:00 Bucharest,1556ppm
2025-01-01T01:30:00+02:00 Bucharest,1556ppm
2025-01-01T01:31:44+02:00 Bucharest,1654ppm
2025-01-01T01:41:44+02:00 Bucharest,1790ppm
2025-01-01T01:45:00+02:00 Bucharest,1790ppm
2025-01-01T01:56:44+02:00 Bucharest,1814ppm
2025-01-01T02:00:00+02:00 Bucharest,1814ppm
2025-01-01T02:15:00+02:00 Bucharest,1814ppm
2025-01-01T02:21:44+02:00 Bucharest,1838ppm
2025-01-01T02:30:00+02:00 Bucharest,1838ppm
2025-01-01T02:31:44+02:00 Bucharest,1835ppm
2025-01-01T02:45:00+02:00 Bucharest,1835ppm
2025-01-01T02:46:44+02:00 Bucharest,1863ppm
2025-01-01T03:00:00+02:00 Bucharest,1863ppm
2025-01-01T03:01:44+02:00 Bucharest,1925ppm
2025-01-01T03:11:44+02:00 Bucharest,1947ppm
2025-01-01T03:15:00+02:00 Bucharest,1947ppm
2025-01-01T03:30:00+02:00 Bucharest,1947ppm
2025-01-01T03:36:44+02:00 Bucharest,1982ppm
2025-01-01T03:45:00+02:00 Bucharest,1982ppm
2025-01-01T03:46:44+02:00 Bucharest,1992ppm
2025-01-01T04:00:00+02:00 Bucharest,1992ppm
2025-01-01T04:06:44+02:00 Bucharest,2000ppm
2025-01-01T04:15:00+02:00 Bucharest,2000ppm
2025-01-01T04:30:00+02:00 Bucharest,2000ppm
2025-01-01T04:45:00+02:00 Bucharest,2000ppm
2025-01-01T04:56:44+02:00 Bucharest,1963ppm
2025-01-01T05:00:00+02:00 Bucharest,1963ppm
2025-01-01T05:01:44+02:00 Bucharest,1965ppm
2025-01-01T05:06:44+02:00 Bucharest,1958ppm
2025-01-01T05:11:44+02:00 Bucharest,1957ppm
2025-01-01T05:15:00+02:00 Bucharest,1957ppm
2025-01-01T05:16:44+02:00 Bucharest,1956ppm
2025-01-01T05:30:00+02:00 Bucharest,1956ppm
2025-01-01T05:31:44+02:00 Bucharest,1968ppm
2025-01-01T05:41:44+02:00 Bucharest,1933ppm
2025-01-01T05:45:00+02:00 Bucharest,1933ppm
2025-01-01T06:00:00+02:00 Bucharest,1933ppm
2025-01-01T06:06:44+02:00 Bucharest,1832ppm
2025-01-01T06:15:00+02:00 Bucharest,1832ppm
2025-01-01T06:16:44+02:00 Bucharest,1791ppm
2025-01-01T06:30:00+02:00 Bucharest,1791ppm
2025-01-01T06:31:44+02:00 Bucharest,1745ppm
2025-01-01T06:36:44+02:00 Bucharest,1740ppm
2025-01-01T06:45:00+02:00 Bucharest,1740ppm
2025-01-01T06:51:44+02:00 Bucharest,1697ppm
2025-01-01T07:00:00+02:00 Bucharest,1697ppm
2025-01-01T07:01:44+02:00 Bucharest,1676ppm
2025-01-01T07:06:44+02:00 Bucharest,1665ppm
2025-01-01T07:15:00+02:00 Bucharest,1665ppm
2025-01-01T07:16:44+02:00 Bucharest,1640ppm
2025-01-01T07:21:44+02:00 Bucharest,1626ppm
2025-01-01T07:30:00+02:00 Bucharest,1626ppm
2025-01-01T07:36:44+02:00 Bucharest,1592ppm
2025-01-01T07:45:00+02:00 Bucharest,1592ppm
2025-01-01T07:46:44+02:00 Bucharest,1554ppm
2025-01-01T07:51:44+02:00 Bucharest,1559ppm
2025-01-01T07:56:44+02:00 Bucharest,1564ppm
2025-01-01T08:00:00+02:00 Bucharest,1564ppm
2025-01-01T08:01:44+02:00 Bucharest,1562ppm
2025-01-01T08:15:00+02:00 Bucharest,1562ppm
2025-01-01T08:16:45+02:00 Bucharest,1533ppm
2025-01-01T08:26:44+02:00 Bucharest,1502ppm
2025-01-01T08:30:00+02:00 Bucharest,1502ppm
2025-01-01T08:36:44+02:00 Bucharest,1449ppm
2025-01-01T08:45:00+02:00 Bucharest,1449ppm
2025-01-01T08:46:44+02:00 Bucharest,1434ppm
2025-01-01T09:00:00+02:00 Bucharest,1434ppm
2025-01-01T09:11:44+02:00 Bucharest,1380ppm
2025-01-01T09:15:00+02:00 Bucharest,1380ppm
2025-01-01T09:30:00+02:00 Bucharest,1380ppm
2025-01-01T09:31:45+02:00 Bucharest,1322ppm
2025-01-01T09:36:44+02:00 Bucharest,1301ppm
2025-01-01T09:41:45+02:00 Bucharest,1288ppm
2025-01-01T09:45:00+02:00 Bucharest,1288ppm
2025-01-01T09:56:45+02:00 Bucharest,1258ppm
2025-01-01T10:00:00+02:00 Bucharest,1258ppm
2025-01-01T10:01:44+02:00 Bucharest,1241ppm
2025-01-01T10:15:00+02:00 Bucharest,1241ppm
2025-01-01T10:16:44+02:00 Bucharest,1215ppm
2025-01-01T10:21:44+02:00 Bucharest,1199ppm
2025-01-01T10:30:00+02:00 Bucharest,1199ppm
2025-01-01T10:36:44+02:00 Bucharest,1170ppm
2025-01-01T10:41:45+02:00 Bucharest,1160ppm
2025-01-01T10:45:00+02:00 Bucharest,1160ppm
2025-01-01T10:51:44+02:00 Bucharest,1147ppm
2025-01-01T11:00:00+02:00 Bucharest,1147ppm
2025-01-01T11:11:45+02:00 Bucharest,1113ppm
2025-01-01T11:15:00+02:00 Bucharest,1113ppm
2025-01-01T11:16:45+02:00 Bucharest,1100ppm
2025-01-01T11:26:44+02:00 Bucharest,1080ppm
2025-01-01T11:30:00+02:00 Bucharest,1080ppm
2025-01-01T11:36:45+02:00 Bucharest,1046ppm
2025-01-01T11:41:45+02:00 Bucharest,1038ppm
2025-01-01T11:45:00+02:00 Bucharest,1038ppm
2025-01-01T11:51:45+02:00 Bucharest,1002ppm
2025-01-01T12:00:00+02:00 Bucharest,1002ppm
2025-01-01T12:01:44+02:00 Bucharest,965ppm
2025-01-01T12:11:45+02:00 Bucharest,940ppm
2025-01-01T12:15:00+02:00 Bucharest,940ppm
2025-01-01T12:16:44+02:00 Bucharest,930ppm
2025-01-01T12:26:45+02:00 Bucharest,882ppm
2025-01-01T12:30:00+02:00 Bucharest,882ppm
2025-01-01T12:31:44+02:00 Bucharest,870ppm
2025-01-01T12:36:45+02:00 Bucharest,858ppm
2025-01-01T12:41:45+02:00 Bucharest,838ppm
