ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-15T07:43:31.149Z hisSize:52740 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b84-7f20b3bf "Site B Room 1 Office" lorawanPoint his id:@p:linkEdge:r:2d9972a1-28df3602 "Site B Room 1 Office AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:48:15+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" amSensorAM319ModelId:"_amSensorAM319_point:temperature" sensor cur amSensorRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" curStatus:"ok" point curVal:26.5°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9972a1-53363459 "1 Office AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983"
2025-01-01T00:00:00+02:00 Bucharest,22.299999237060547°C
2025-01-01T00:06:44+02:00 Bucharest,22.200000762939453°C
2025-01-01T00:15:00+02:00 Bucharest,22.200000762939453°C
2025-01-01T00:30:00+02:00 Bucharest,22.200000762939453°C
2025-01-01T00:45:00+02:00 Bucharest,22.100000381469727°C
2025-01-01T01:00:00+02:00 Bucharest,22.100000381469727°C
2025-01-01T01:15:00+02:00 Bucharest,22.100000381469727°C
2025-01-01T01:30:00+02:00 Bucharest,22.200000762939453°C
2025-01-01T01:41:44+02:00 Bucharest,22.299999237060547°C
2025-01-01T01:45:00+02:00 Bucharest,22.299999237060547°C
2025-01-01T02:00:00+02:00 Bucharest,22.399999618530273°C
2025-01-01T02:15:00+02:00 Bucharest,22.399999618530273°C
2025-01-01T02:21:44+02:00 Bucharest,22.5°C
2025-01-01T02:30:00+02:00 Bucharest,22.5°C
2025-01-01T02:45:00+02:00 Bucharest,22.5°C
2025-01-01T03:00:00+02:00 Bucharest,22.5°C
2025-01-01T03:11:44+02:00 Bucharest,22.600000381469727°C
2025-01-01T03:15:00+02:00 Bucharest,22.600000381469727°C
2025-01-01T03:30:00+02:00 Bucharest,22.600000381469727°C
2025-01-01T03:45:00+02:00 Bucharest,22.600000381469727°C
2025-01-01T04:00:00+02:00 Bucharest,22.600000381469727°C
2025-01-01T04:15:00+02:00 Bucharest,22.600000381469727°C
2025-01-01T04:30:00+02:00 Bucharest,22.600000381469727°C
2025-01-01T04:45:00+02:00 Bucharest,22.600000381469727°C
2025-01-01T05:00:00+02:00 Bucharest,22.600000381469727°C
2025-01-01T05:15:00+02:00 Bucharest,22.600000381469727°C
2025-01-01T05:16:44+02:00 Bucharest,22.5°C
2025-01-01T05:30:00+02:00 Bucharest,22.5°C
2025-01-01T05:45:00+02:00 Bucharest,22.5°C
2025-01-01T06:00:00+02:00 Bucharest,22.5°C
2025-01-01T06:06:44+02:00 Bucharest,22.399999618530273°C
2025-01-01T06:15:00+02:00 Bucharest,22.399999618530273°C
2025-01-01T06:30:00+02:00 Bucharest,22.399999618530273°C
2025-01-01T06:45:00+02:00 Bucharest,22.399999618530273°C
2025-01-01T07:00:00+02:00 Bucharest,22.299999237060547°C
2025-01-01T07:15:00+02:00 Bucharest,22.299999237060547°C
2025-01-01T07:30:00+02:00 Bucharest,22.299999237060547°C
2025-01-01T07:36:44+02:00 Bucharest,22.200000762939453°C
2025-01-01T07:45:00+02:00 Bucharest,22.200000762939453°C
2025-01-01T08:00:00+02:00 Bucharest,22.200000762939453°C
2025-01-01T08:15:00+02:00 Bucharest,22.200000762939453°C
2025-01-01T08:30:00+02:00 Bucharest,22.200000762939453°C
2025-01-01T08:45:00+02:00 Bucharest,22.200000762939453°C
2025-01-01T09:00:00+02:00 Bucharest,22.200000762939453°C
2025-01-01T09:11:44+02:00 Bucharest,22.399999618530273°C
2025-01-01T09:15:00+02:00 Bucharest,22.399999618530273°C
2025-01-01T09:30:00+02:00 Bucharest,22.399999618530273°C
2025-01-01T09:31:45+02:00 Bucharest,22.600000381469727°C
2025-01-01T09:45:00+02:00 Bucharest,22.700000762939453°C
2025-01-01T09:56:45+02:00 Bucharest,22.899999618530273°C
2025-01-01T10:00:00+02:00 Bucharest,22.899999618530273°C
2025-01-01T10:15:00+02:00 Bucharest,22.899999618530273°C
2025-01-01T10:16:44+02:00 Bucharest,23.100000381469727°C
2025-01-01T10:30:00+02:00 Bucharest,23.100000381469727°C
2025-01-01T10:41:45+02:00 Bucharest,23.299999237060547°C
2025-01-01T10:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-01T11:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T11:11:45+02:00 Bucharest,23.5°C
2025-01-01T11:15:00+02:00 Bucharest,23.5°C
2025-01-01T11:16:45+02:00 Bucharest,23.399999618530273°C
2025-01-01T11:26:44+02:00 Bucharest,23.5°C
2025-01-01T11:30:00+02:00 Bucharest,23.5°C
2025-01-01T11:45:00+02:00 Bucharest,23.5°C
2025-01-01T12:00:00+02:00 Bucharest,23.5°C
2025-01-01T12:15:00+02:00 Bucharest,23.5°C
2025-01-01T12:30:00+02:00 Bucharest,23.5°C
2025-01-01T12:45:00+02:00 Bucharest,23.5°C
2025-01-01T13:00:00+02:00 Bucharest,23.5°C
2025-01-01T13:15:00+02:00 Bucharest,23.5°C
2025-01-01T13:30:00+02:00 Bucharest,23.5°C
2025-01-01T13:45:00+02:00 Bucharest,23.5°C
2025-01-01T14:00:00+02:00 Bucharest,23.5°C
2025-01-01T14:06:45+02:00 Bucharest,23.600000381469727°C
2025-01-01T14:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T14:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T14:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T14:46:45+02:00 Bucharest,23.799999237060547°C
2025-01-01T15:00:00+02:00 Bucharest,23.799999237060547°C
