ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" mod:2024-04-12T14:40:32.921Z hisSize:85654 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b8c-aab4b9e7 "Site B Room 2nca" co2 lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:co2" point his curVal:1272ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9aaf5a-8fb5e82f "2 AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" id:@p:linkEdge:r:2d9aaf5a-34eee513 "Site B Room 2 AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:47:48+02:00 Bucharest hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" unit:"ppm" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T00:00:00+02:00 Bucharest,1110ppm
2025-01-01T00:01:17+02:00 Bucharest,1125ppm
2025-01-01T00:15:00+02:00 Bucharest,1125ppm
2025-01-01T00:30:00+02:00 Bucharest,1125ppm
2025-01-01T00:31:18+02:00 Bucharest,1191ppm
2025-01-01T00:45:00+02:00 Bucharest,1191ppm
2025-01-01T00:51:25+02:00 Bucharest,1188ppm
2025-01-01T01:00:00+02:00 Bucharest,1188ppm
2025-01-01T01:01:18+02:00 Bucharest,1202ppm
2025-01-01T01:15:00+02:00 Bucharest,1202ppm
2025-01-01T01:21:18+02:00 Bucharest,1220ppm
2025-01-01T01:30:00+02:00 Bucharest,1220ppm
2025-01-01T01:31:18+02:00 Bucharest,1237ppm
2025-01-01T01:45:00+02:00 Bucharest,1237ppm
2025-01-01T01:51:17+02:00 Bucharest,1266ppm
2025-01-01T02:00:00+02:00 Bucharest,1266ppm
2025-01-01T02:15:00+02:00 Bucharest,1266ppm
2025-01-01T02:21:17+02:00 Bucharest,1374ppm
2025-01-01T02:30:00+02:00 Bucharest,1374ppm
2025-01-01T02:31:18+02:00 Bucharest,1414ppm
2025-01-01T02:41:18+02:00 Bucharest,1470ppm
2025-01-01T02:45:00+02:00 Bucharest,1470ppm
2025-01-01T03:00:00+02:00 Bucharest,1470ppm
2025-01-01T03:01:18+02:00 Bucharest,1533ppm
2025-01-01T03:11:18+02:00 Bucharest,1577ppm
2025-01-01T03:15:00+02:00 Bucharest,1577ppm
2025-01-01T03:30:00+02:00 Bucharest,1577ppm
2025-01-01T03:45:00+02:00 Bucharest,1577ppm
2025-01-01T04:00:00+02:00 Bucharest,1577ppm
2025-01-01T04:15:00+02:00 Bucharest,1577ppm
2025-01-01T04:30:00+02:00 Bucharest,1577ppm
2025-01-01T04:31:17+02:00 Bucharest,1766ppm
2025-01-01T04:41:18+02:00 Bucharest,1795ppm
2025-01-01T04:45:00+02:00 Bucharest,1795ppm
2025-01-01T05:00:00+02:00 Bucharest,1795ppm
2025-01-01T05:11:17+02:00 Bucharest,1794ppm
2025-01-01T05:15:00+02:00 Bucharest,1794ppm
2025-01-01T05:30:00+02:00 Bucharest,1794ppm
2025-01-01T05:31:18+02:00 Bucharest,1964ppm
2025-01-01T05:41:17+02:00 Bucharest,1994ppm
2025-01-01T05:45:00+02:00 Bucharest,1994ppm
2025-01-01T06:00:00+02:00 Bucharest,1994ppm
2025-01-01T06:15:00+02:00 Bucharest,1994ppm
2025-01-01T06:30:00+02:00 Bucharest,1994ppm
2025-01-01T06:31:18+02:00 Bucharest,2193ppm
2025-01-01T06:45:00+02:00 Bucharest,2193ppm
2025-01-01T06:51:17+02:00 Bucharest,2152ppm
2025-01-01T07:00:00+02:00 Bucharest,2152ppm
2025-01-01T07:01:18+02:00 Bucharest,2169ppm
2025-01-01T07:15:00+02:00 Bucharest,2169ppm
2025-01-01T07:21:17+02:00 Bucharest,2249ppm
2025-01-01T07:30:00+02:00 Bucharest,2249ppm
2025-01-01T07:45:00+02:00 Bucharest,2249ppm
2025-01-01T07:51:17+02:00 Bucharest,2335ppm
2025-01-01T08:00:00+02:00 Bucharest,2335ppm
2025-01-01T08:01:17+02:00 Bucharest,2323ppm
2025-01-01T08:15:00+02:00 Bucharest,2323ppm
