ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" mod:2024-04-12T14:43:06.716Z hisSize:85916 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b95-ed5a18fd "Site B Room 3" co2 lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:co2" point his curVal:1694ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab1c2-71da2caa "3 AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" id:@p:linkEdge:r:2d9ab1c2-02560fee "Site B Room 3 AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:55:19+02:00 Bucharest hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" unit:"ppm" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T00:00:00+02:00 Bucharest,1093ppm
2025-01-01T00:15:00+02:00 Bucharest,1093ppm
2025-01-01T00:29:48+02:00 Bucharest,1162ppm
2025-01-01T00:30:00+02:00 Bucharest,1162ppm
2025-01-01T00:39:48+02:00 Bucharest,1172ppm
2025-01-01T00:45:00+02:00 Bucharest,1172ppm
2025-01-01T00:59:48+02:00 Bucharest,1192ppm
2025-01-01T01:00:00+02:00 Bucharest,1192ppm
2025-01-01T01:15:00+02:00 Bucharest,1192ppm
2025-01-01T01:29:48+02:00 Bucharest,1235ppm
2025-01-01T01:30:00+02:00 Bucharest,1235ppm
2025-01-01T01:45:00+02:00 Bucharest,1235ppm
2025-01-01T01:50:00+02:00 Bucharest,1363ppm
2025-01-01T02:00:00+02:00 Bucharest,1363ppm
2025-01-01T02:09:48+02:00 Bucharest,1431ppm
2025-01-01T02:15:00+02:00 Bucharest,1431ppm
2025-01-01T02:29:49+02:00 Bucharest,1510ppm
2025-01-01T02:30:00+02:00 Bucharest,1510ppm
2025-01-01T02:39:48+02:00 Bucharest,1523ppm
2025-01-01T02:45:00+02:00 Bucharest,1523ppm
2025-01-01T03:00:00+02:00 Bucharest,1523ppm
2025-01-01T03:15:00+02:00 Bucharest,1523ppm
2025-01-01T03:30:00+02:00 Bucharest,1523ppm
2025-01-01T03:45:00+02:00 Bucharest,1523ppm
2025-01-01T03:49:48+02:00 Bucharest,1678ppm
2025-01-01T03:59:48+02:00 Bucharest,1668ppm
2025-01-01T04:00:00+02:00 Bucharest,1668ppm
2025-01-01T04:15:00+02:00 Bucharest,1668ppm
2025-01-01T04:29:48+02:00 Bucharest,1728ppm
2025-01-01T04:30:00+02:00 Bucharest,1728ppm
2025-01-01T04:39:48+02:00 Bucharest,1742ppm
2025-01-01T04:45:00+02:00 Bucharest,1742ppm
2025-01-01T04:49:49+02:00 Bucharest,1749ppm
2025-01-01T05:00:00+02:00 Bucharest,1749ppm
2025-01-01T05:09:48+02:00 Bucharest,1755ppm
2025-01-01T05:15:00+02:00 Bucharest,1755ppm
2025-01-01T05:29:48+02:00 Bucharest,1816ppm
2025-01-01T05:30:00+02:00 Bucharest,1816ppm
2025-01-01T05:39:48+02:00 Bucharest,1863ppm
2025-01-01T05:45:00+02:00 Bucharest,1863ppm
2025-01-01T05:49:48+02:00 Bucharest,1877ppm
2025-01-01T06:00:00+02:00 Bucharest,1877ppm
2025-01-01T06:15:00+02:00 Bucharest,1877ppm
2025-01-01T06:30:00+02:00 Bucharest,1877ppm
2025-01-01T06:45:00+02:00 Bucharest,1877ppm
2025-01-01T06:49:48+02:00 Bucharest,2030ppm
2025-01-01T06:59:48+02:00 Bucharest,2007ppm
2025-01-01T07:00:00+02:00 Bucharest,2007ppm
2025-01-01T07:09:48+02:00 Bucharest,2040ppm
2025-01-01T07:15:00+02:00 Bucharest,2040ppm
2025-01-01T07:19:48+02:00 Bucharest,2055ppm
2025-01-01T07:29:48+02:00 Bucharest,2076ppm
2025-01-01T07:30:00+02:00 Bucharest,2076ppm
2025-01-01T07:45:00+02:00 Bucharest,2076ppm
2025-01-01T07:49:48+02:00 Bucharest,2120ppm
2025-01-01T07:59:48+02:00 Bucharest,2126ppm
2025-01-01T08:00:00+02:00 Bucharest,2126ppm
2025-01-01T08:09:49+02:00 Bucharest,2154ppm
2025-01-01T08:15:00+02:00 Bucharest,2154ppm
2025-01-01T08:19:48+02:00 Bucharest,2166ppm
2025-01-01T08:30:00+02:00 Bucharest,2166ppm
2025-01-01T08:45:00+02:00 Bucharest,2166ppm
2025-01-01T08:49:48+02:00 Bucharest,2228ppm
2025-01-01T09:00:00+02:00 Bucharest,2228ppm
2025-01-01T09:15:00+02:00 Bucharest,2228ppm
2025-01-01T09:20:01+02:00 Bucharest,2430ppm
2025-01-01T09:29:48+02:00 Bucharest,2469ppm
2025-01-01T09:30:00+02:00 Bucharest,2469ppm
2025-01-01T09:39:48+02:00 Bucharest,2510ppm
2025-01-01T09:45:00+02:00 Bucharest,2510ppm
2025-01-01T10:00:00+02:00 Bucharest,2510ppm
2025-01-01T10:15:00+02:00 Bucharest,2510ppm
2025-01-01T10:19:48+02:00 Bucharest,2610ppm
2025-01-01T10:30:00+02:00 Bucharest,2610ppm
2025-01-01T10:39:48+02:00 Bucharest,2648ppm
2025-01-01T10:45:00+02:00 Bucharest,2648ppm
2025-01-01T10:49:48+02:00 Bucharest,2573ppm
2025-01-01T11:00:00+02:00 Bucharest,2573ppm
2025-01-01T11:10:01+02:00 Bucharest,1793ppm
2025-01-01T11:15:00+02:00 Bucharest,1793ppm
2025-01-01T11:19:48+02:00 Bucharest,1377ppm
2025-01-01T11:29:49+02:00 Bucharest,1552ppm
2025-01-01T11:30:00+02:00 Bucharest,1552ppm
2025-01-01T11:45:00+02:00 Bucharest,1552ppm
2025-01-01T11:50:01+02:00 Bucharest,1189ppm
2025-01-01T11:59:48+02:00 Bucharest,1102ppm
2025-01-01T12:00:00+02:00 Bucharest,1102ppm
2025-01-01T12:15:00+02:00 Bucharest,1102ppm
2025-01-01T12:19:48+02:00 Bucharest,1053ppm
2025-01-01T12:29:48+02:00 Bucharest,1037ppm
2025-01-01T12:30:00+02:00 Bucharest,1037ppm
2025-01-01T12:39:49+02:00 Bucharest,1008ppm
2025-01-01T12:45:00+02:00 Bucharest,1008ppm
2025-01-01T13:00:00+02:00 Bucharest,1008ppm
2025-01-01T13:09:48+02:00 Bucharest,904ppm
2025-01-01T13:15:00+02:00 Bucharest,904ppm
2025-01-01T13:29:48+02:00 Bucharest,812ppm
2025-01-01T13:30:00+02:00 Bucharest,812ppm
