ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:42:27.189Z hisSize:48608 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b95-ed5a18fd "Site B Room 3" lorawanPoint his id:@p:linkEdge:r:2d9ab1c2-67e6b723 "Site B Room 3 AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:46:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" sensor cur amSensorRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:temperature" point curVal:24.4°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab1c2-71da2caa "3 AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba"
2025-01-01T00:00:00+02:00 Bucharest,24°C
2025-01-01T00:15:00+02:00 Bucharest,24°C
2025-01-01T00:29:48+02:00 Bucharest,24.299999237060547°C
2025-01-01T00:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-01T00:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T00:59:48+02:00 Bucharest,24.5°C
2025-01-01T01:00:00+02:00 Bucharest,24.5°C
2025-01-01T01:15:00+02:00 Bucharest,24.5°C
2025-01-01T01:30:00+02:00 Bucharest,24.5°C
2025-01-01T01:45:00+02:00 Bucharest,24.5°C
2025-01-01T01:50:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T02:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T02:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-01T02:29:49+02:00 Bucharest,24.100000381469727°C
2025-01-01T02:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T02:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T03:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T03:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T03:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T03:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T03:49:48+02:00 Bucharest,23.700000762939453°C
2025-01-01T04:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T04:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T04:29:48+02:00 Bucharest,24°C
2025-01-01T04:30:00+02:00 Bucharest,24°C
2025-01-01T04:39:48+02:00 Bucharest,24.100000381469727°C
2025-01-01T04:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T04:49:49+02:00 Bucharest,24.299999237060547°C
2025-01-01T05:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-01T05:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T05:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T05:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T06:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T06:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T06:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T06:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T06:49:48+02:00 Bucharest,24.200000762939453°C
2025-01-01T07:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-01T07:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-01T07:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T07:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T07:49:48+02:00 Bucharest,24°C
2025-01-01T07:59:48+02:00 Bucharest,23.899999618530273°C
2025-01-01T08:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-01T08:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T08:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T08:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T08:49:48+02:00 Bucharest,23.600000381469727°C
2025-01-01T09:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T09:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T09:20:01+02:00 Bucharest,23.5°C
2025-01-01T09:30:00+02:00 Bucharest,23.5°C
2025-01-01T09:39:48+02:00 Bucharest,23.399999618530273°C
2025-01-01T09:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T10:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T10:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T10:30:00+02:00 Bucharest,23.299999237060547°C
2025-01-01T10:39:48+02:00 Bucharest,23.200000762939453°C
2025-01-01T10:45:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T11:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T11:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T11:30:00+02:00 Bucharest,23.100000381469727°C
2025-01-01T11:45:00+02:00 Bucharest,23.100000381469727°C
2025-01-01T11:50:01+02:00 Bucharest,23.299999237060547°C
2025-01-01T11:59:48+02:00 Bucharest,23.5°C
2025-01-01T12:00:00+02:00 Bucharest,23.5°C
2025-01-01T12:15:00+02:00 Bucharest,23.5°C
2025-01-01T12:19:48+02:00 Bucharest,23.700000762939453°C
2025-01-01T12:29:48+02:00 Bucharest,23.799999237060547°C
2025-01-01T12:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T12:45:00+02:00 Bucharest,23.799999237060547°C
