ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-22T21:29:13.285Z hisSize:62716 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint maxVal:5 his minVal:1 id:@p:linkEdge:r:2d997a3d-7118020b "Site B Room 4 Living AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppb" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:100ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" airQuality hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:tvoc"
2025-01-01T00:00:00+02:00 Bucharest,127ppb
2025-01-01T00:15:00+02:00 Bucharest,127ppb
2025-01-01T00:28:41+02:00 Bucharest,106ppb
2025-01-01T00:30:00+02:00 Bucharest,106ppb
2025-01-01T00:45:00+02:00 Bucharest,106ppb
2025-01-01T00:58:41+02:00 Bucharest,103ppb
2025-01-01T01:00:00+02:00 Bucharest,103ppb
2025-01-01T01:08:41+02:00 Bucharest,106ppb
2025-01-01T01:15:00+02:00 Bucharest,106ppb
2025-01-01T01:28:40+02:00 Bucharest,111ppb
2025-01-01T01:30:00+02:00 Bucharest,111ppb
2025-01-01T01:45:00+02:00 Bucharest,111ppb
2025-01-01T02:00:00+02:00 Bucharest,111ppb
2025-01-01T02:08:39+02:00 Bucharest,113ppb
2025-01-01T02:15:00+02:00 Bucharest,113ppb
2025-01-01T02:28:39+02:00 Bucharest,118ppb
2025-01-01T02:30:00+02:00 Bucharest,118ppb
2025-01-01T02:38:39+02:00 Bucharest,115ppb
2025-01-01T02:45:00+02:00 Bucharest,115ppb
2025-01-01T02:48:39+02:00 Bucharest,117ppb
2025-01-01T03:00:00+02:00 Bucharest,117ppb
2025-01-01T03:15:00+02:00 Bucharest,117ppb
2025-01-01T03:18:38+02:00 Bucharest,119ppb
2025-01-01T03:30:00+02:00 Bucharest,119ppb
2025-01-01T03:45:00+02:00 Bucharest,119ppb
2025-01-01T03:48:38+02:00 Bucharest,120ppb
2025-01-01T04:00:00+02:00 Bucharest,120ppb
2025-01-01T04:15:00+02:00 Bucharest,120ppb
2025-01-01T04:28:37+02:00 Bucharest,118ppb
2025-01-01T04:30:00+02:00 Bucharest,118ppb
2025-01-01T04:45:00+02:00 Bucharest,118ppb
2025-01-01T04:48:37+02:00 Bucharest,115ppb
2025-01-01T05:00:00+02:00 Bucharest,115ppb
2025-01-01T05:08:36+02:00 Bucharest,112ppb
2025-01-01T05:15:00+02:00 Bucharest,112ppb
2025-01-01T05:28:36+02:00 Bucharest,109ppb
2025-01-01T05:30:00+02:00 Bucharest,109ppb
2025-01-01T05:45:00+02:00 Bucharest,109ppb
2025-01-01T05:58:35+02:00 Bucharest,110ppb
2025-01-01T06:00:00+02:00 Bucharest,110ppb
2025-01-01T06:08:35+02:00 Bucharest,109ppb
2025-01-01T06:15:00+02:00 Bucharest,109ppb
2025-01-01T06:30:00+02:00 Bucharest,109ppb
2025-01-01T06:38:35+02:00 Bucharest,105ppb
2025-01-01T06:45:00+02:00 Bucharest,105ppb
2025-01-01T06:48:34+02:00 Bucharest,103ppb
2025-01-01T06:58:34+02:00 Bucharest,101ppb
