ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" mod:2024-04-12T14:37:14.402Z hisSize:33462 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b90-ac30c77f "Site B Room 5" lorawanPoint curStatus:"unknown" amSensorAM107ModelId:"_amSensorAM107_point:temperature" point his disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab104-e21f5c37 "5 AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" id:@p:linkEdge:r:2d9ab104-dec225aa "Site B Room 5 AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2025-09-28T11:00:00+03:00 Bucharest temp hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" unit:"°C" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T00:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T00:01:00+02:00 Bucharest,25°C
2025-01-01T00:15:00+02:00 Bucharest,25°C
2025-01-01T00:30:00+02:00 Bucharest,25°C
2025-01-01T00:31:00+02:00 Bucharest,25.600000381469727°C
2025-01-01T00:40:17+02:00 Bucharest,25.799999237060547°C
2025-01-01T00:45:00+02:00 Bucharest,25.799999237060547°C
2025-01-01T01:00:00+02:00 Bucharest,25.799999237060547°C
2025-01-01T01:15:00+02:00 Bucharest,25.799999237060547°C
2025-01-01T01:30:00+02:00 Bucharest,25.799999237060547°C
2025-01-01T01:31:00+02:00 Bucharest,25.5°C
2025-01-01T01:45:00+02:00 Bucharest,25.5°C
2025-01-01T01:50:17+02:00 Bucharest,25.299999237060547°C
2025-01-01T02:00:00+02:00 Bucharest,25.299999237060547°C
2025-01-01T02:15:00+02:00 Bucharest,25.299999237060547°C
2025-01-01T02:30:00+02:00 Bucharest,25.299999237060547°C
2025-01-01T02:31:00+02:00 Bucharest,24.899999618530273°C
2025-01-01T02:45:00+02:00 Bucharest,24.799999237060547°C
2025-01-01T03:00:00+02:00 Bucharest,24.799999237060547°C
2025-01-01T03:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-01T03:30:00+02:00 Bucharest,24.799999237060547°C
2025-01-01T03:45:00+02:00 Bucharest,24.799999237060547°C
2025-01-01T04:00:00+02:00 Bucharest,24.799999237060547°C
2025-01-01T04:01:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T04:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T04:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T04:31:00+02:00 Bucharest,25.200000762939453°C
2025-01-01T04:40:17+02:00 Bucharest,25.399999618530273°C
2025-01-01T04:45:00+02:00 Bucharest,25.399999618530273°C
2025-01-01T04:50:18+02:00 Bucharest,25.700000762939453°C
2025-01-01T05:00:00+02:00 Bucharest,25.700000762939453°C
2025-01-01T05:10:17+02:00 Bucharest,25.799999237060547°C
2025-01-01T05:15:00+02:00 Bucharest,25.799999237060547°C
2025-01-01T05:30:00+02:00 Bucharest,25.799999237060547°C
2025-01-01T05:31:00+02:00 Bucharest,25.700000762939453°C
2025-01-01T05:45:00+02:00 Bucharest,25.600000381469727°C
2025-01-01T05:50:17+02:00 Bucharest,25.5°C
2025-01-01T06:00:00+02:00 Bucharest,25.5°C
2025-01-01T06:15:00+02:00 Bucharest,25.5°C
2025-01-01T06:30:00+02:00 Bucharest,25.5°C
2025-01-01T06:45:00+02:00 Bucharest,25.5°C
2025-01-01T06:50:17+02:00 Bucharest,25.100000381469727°C
2025-01-01T07:00:00+02:00 Bucharest,25.100000381469727°C
2025-01-01T07:01:00+02:00 Bucharest,25°C
2025-01-01T07:15:00+02:00 Bucharest,25°C
2025-01-01T07:20:17+02:00 Bucharest,24.899999618530273°C
2025-01-01T07:30:00+02:00 Bucharest,24.899999618530273°C
2025-01-01T07:45:00+02:00 Bucharest,24.799999237060547°C
2025-01-01T07:50:17+02:00 Bucharest,24.700000762939453°C
2025-01-01T08:00:00+02:00 Bucharest,24.700000762939453°C
2025-01-01T08:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T08:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T08:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T09:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T09:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T09:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T09:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T10:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T10:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T10:30:00+02:00 Bucharest,24.700000762939453°C
2025-01-01T10:45:00+02:00 Bucharest,24.700000762939453°C
